edge_id,point1,point2,absolute_length_px,relative_length,is_reference
0,44,45,7.68,0.100213,False
1,54,13,36.09,0.470848,False
2,8,9,17.55,0.228903,False
3,40,41,9.31,0.121492,False
4,59,48,12.27,0.160098,False
5,30,39,38.28,0.499331,False
6,18,19,12.39,0.161575,False
7,36,0,23.74,0.309683,False
8,18,37,20.41,0.266286,False
9,14,15,20.52,0.267704,False
10,47,27,27.72,0.361627,False
11,9,10,17.74,0.231396,False
12,46,13,58.07,0.757569,False
13,15,16,20.80,0.271290,False
14,42,43,10.58,0.137963,False
15,36,2,37.82,0.493367,False
16,25,45,17.43,0.227411,False
17,40,27,26.54,0.346230,False
18,38,39,10.76,0.140332,False
19,48,49,9.69,0.126386,False
20,42,27,18.69,0.243868,False
21,17,0,8.13,0.105996,False
22,45,16,25.47,0.332258,False
23,12,13,19.84,0.258849,False
24,22,23,13.63,0.177813,False
25,49,50,9.10,0.118715,False
26,27,22,15.00,0.195634,False
27,13,14,19.95,0.260185,False
28,45,46,7.51,0.097939,False
29,55,56,9.84,0.128420,False
30,50,51,7.91,0.103219,False
31,54,12,28.53,0.372143,False
32,51,52,8.15,0.106252,False
33,46,47,8.98,0.117170,False
34,23,24,13.16,0.171670,False
35,33,10,65.40,0.853125,False
36,19,20,12.88,0.167961,False
37,24,25,13.74,0.179222,False
38,56,57,8.29,0.108104,False
39,19,38,18.92,0.246870,False
40,20,21,13.05,0.170297,False
41,52,53,9.19,0.119875,False
42,57,58,7.98,0.104038,False
43,23,44,16.26,0.212117,False
44,53,54,9.62,0.125544,False
45,46,15,33.30,0.434412,False
46,25,26,12.10,0.157815,False
47,39,27,17.90,0.233567,False
48,31,32,7.97,0.104027,False
49,17,18,11.91,0.155308,False
50,27,28,12.10,0.157875,False
51,57,8,38.48,0.501959,False
52,48,5,26.40,0.344396,False
53,54,55,12.88,0.168050,False
54,64,65,14.29,0.186454,False
55,30,42,39.35,0.513264,False
56,22,13,82.82,1.080388,False
57,5,6,20.05,0.261561,False
58,60,61,14.51,0.189275,False
59,1,2,20.10,0.262156,False
60,27,21,16.95,0.221123,False
61,28,29,12.30,0.160505,False
62,47,42,9.03,0.117760,False
63,57,10,39.96,0.521225,False
64,39,4,76.66,1.000000,True
65,54,11,30.48,0.397627,False
66,67,60,14.81,0.193194,False
67,29,30,12.78,0.166673,False
68,61,62,7.70,0.100452,False
69,24,43,16.98,0.221497,False
70,50,7,53.17,0.693572,False
71,2,3,19.73,0.257333,False
72,20,39,20.05,0.261566,False
73,62,63,8.03,0.104780,False
74,3,4,19.91,0.259695,False
75,58,59,10.20,0.133058,False
76,36,1,25.58,0.333678,False
77,36,37,7.74,0.101016,False
78,46,14,43.62,0.569023,False
79,63,64,14.36,0.187355,False
80,41,36,7.79,0.101664,False
81,32,33,8.61,0.112315,False
82,4,5,20.35,0.265435,False
83,36,3,54.55,0.711569,False
84,45,15,29.68,0.387114,False
85,0,1,20.00,0.260901,False
86,10,11,18.82,0.245511,False
87,65,66,8.21,0.107057,False
88,48,4,26.13,0.340854,False
89,37,38,9.05,0.118078,False
90,38,3,64.02,0.835124,False
91,30,32,12.94,0.168817,False
92,6,7,18.61,0.242749,False
93,31,6,63.36,0.826485,False
94,43,44,8.73,0.113934,False
95,39,40,8.64,0.112670,False
96,11,12,20.04,0.261361,False
97,66,67,7.74,0.100985,False
98,57,9,39.30,0.512645,False
99,7,8,17.76,0.231669,False
